#collected by Gudeta G. (from various sources)
a fourth	kurmaana, ruubi, tokko afraffa
	       
hiika	hitta        
	       
	       
	       
	       
	       
	       
	       
L 	       
	       
	       
	       
loot v. 	 saama mta; n.   bojuu ni     
	       
lord n. 	 gooftaa ni (Amh.); abboo       
	       
lorry n. 	 baabura i;(Amh.); loorri;konkolaata i (Oro.)      
	       
lose v. 	 dhaba bda       
	       
lose competence v. 	 silala ta       
	       
lose sexual desire v. 	 tirra tirta       
	       
loss n. 	 badii ni; rakasa i; rakiisa i     
	       
lost n. 	 waaree ni; v.   bada badda     
	       
lost, get v. 	 balla'a leetta       
	       
lot 	 n.   raphtaa ni      
	       
love v. 	 jalaaadha ta; maleela lta; n. jalaala; maleela i; jaalala; sisinnii ni    
	       
lover n. 	 garayu ni; jaala; jaalto       
	       
low (adj.) 	 gabaaba, gabaabdu, gabaabo; gadi; ga        
	       
lowlands (hot) n. 	 gammoojii ni       
	       
lubricant n. 	 qibaati ni (Amh.)       
	       
lubricate v. 	 muuda muudda       
	       
luck n. 	 kaayooma; ayaana, milkii ni ; gaara i; hixaa ni (Amh.);     
	       
kaayoo	ni; (good or bad) faroo ni       
lukewarm, be v. 	 buluqa luxxa       
lumbar (region) n. 	 moo ni       
	       
lump n. 	 karannee  ni; mucee ni; mucura i; waciba i    
lung n. 	 somba i       
	       
lush, be v. 	 bosoona nta; ganna gannita      
	       
lust n. 	 mirqaana i; dareena nta; dharaha raata; dharraa ni; dharraa ni   
luxuriant v. 	 dunfura rta       
lymph nodes n. 	 gonanaa ni       
	       
	       
	       
L 	       
	       
	       
	       
M 	       
	       
	       
	       
machete n. 	 bangaa ni (Swa.); goraadee ni; sholee ni (Guji);     
	       
maggot n. 	 hiffa fiti; raamoo ni; daariqa tti     
	       
magnify v. 	 gumbisa fta       
	       
maintain order v. aadaha	doofta        
	       
maize n. 	 boqoloo ni (Amh.); (boiled)   karshaa  ni; korankora i;    
	       
asheeda; jengaa	ni (Swa.)        
make v. 	 jaara rta; ijaara rta      
make good v. 	 tolcha  chita       
make place v. 	 siqa sixxa       
make single line (file) v. 	 hariira rta       
make way v. 	 gora gorta       
malaria n. 	 binii ni       
male (animal or person) n. 	 korma i; (cattle) n.   jibbicha i; jibboota i (plu.);    
	       
(strong) n. 	 koromtoo ni; ilma i      
man n. 	 dhiira ti       
manner n. 	kara  ni       
	       
	       
	       
	       
	       
M 	       
	       
	       
	       
many n. 	 gurmuu ni; hedduu; hidduu; kunkii ni; haguu ni; qacaa ni    
	       
many, be v. 	 guma gumita       
	       
many, very many (adj.) 	 allabii, heddu        
	       
map n. 	 kartaa  (Ital.)       
	       
mark v. 	 milikeefadha fatta       
	       
market (for cattle) n. 	 munaada i (Amh.); (place)  n. gabayyaa ni     
	       
markings n. 	 shaafa i       
	       
marriage n. 	 fuudha i; oroosa i (Swa.)      
	       
marrow n. 	 dhu'a ti; qoosaa ni      
	       
marry v. 	 fuudha fuuta; fuusisa sifta      
	       
mass n. 	 nafa i       
	       
massage v. 	 mimiica miicca       
	       
master n. 	 gooftaa ni (Amh.); abboo       
	       
match n. 	 kibiriita i (Swa.)       
	       
mate v. 	 yaaba bda (horses and donkeys)       
	       
material n. 	 nafa i       
	       
matter n. 	 dubbii ni; haajaa ni (Swa.)      
	       
mattress n. 	 farashii ni (Amh.); itillee ni      
	       
mature n. 	 buleessa i; become mature   buleessawa soofta     
	       
mature (girl) n. 	 gaaltama i; v. gaaltama mta      
	       
mature thing n. 	 buleessa i       
	       
mature, be v. 	cima cimta; bilchaadha chaata      
	       
maybe (adv.) 	 gaafiini; malaafi; malaafu        
	       
me (pron.) 	 na; ana        
	       
mead n. 	 daadhii ni       
	       
meager (adj.) 	 huqqaa, huqqoo, huqqoo        
	       
measles n.	 finnoo ni       
	       
measure v. 	 biima biimita (Swa.); fiiriha rita; heda hadda; haammaara rta    
	       
measurement n. 	 ciqilee ni; waarii ni (Amh.)      
	       
meat n. 	 fooni; (dried) n.   jajii ni; qoonxaa ni (Amh.)     
	       
meddler n. 	 qorqortuu ni       
	       
medicine n. 	 kiniina i (Ital.); qorsa i ; daawwee ni     
	       
medicine (for tapeworm) n. 	 koosoo ni (Amh.); qorsa i      
	       
meditate v. 	 yaada yaadda       
	       
meet v. 	 arga gita       
	       
meet together v. 	 walda'a deeta       
	       
meeting n 	 kora i; qorbaa ni; sabsabaa ni (Amh.); gubbayii ni (Amh.);    
	       
waldeenna	i        
melt v. 	 bassa bassita       
melted, be v. 	 baqa baxxa       
membrane n. 	 qoofiraa ni       
menace v. 	 ukhukuba bda       
mend v. 	 erba erbita       
menstruation n. 	 uwwa iti       
	       
	       
	       
	       
	       
mentally dull n. 	 raatuu ni       
	       
meow v. 	 nyao jedha jetta       
	       
merchant n. 	 nagaadee ni       
	       
merciful (adj.) 	 naaso        
	       
mercy n. 	 naasuu ni       
	       
mercy, have v. 	 kililla ta       
	       
merely (adv.) 	 calla        
	       
mess up v. 	 marqa qita       
	       
message n. 	 ergaa ni       
	       
messenger n. 	 dabaree ni; ergattuu ni;      
	       
ergamtuu	ni (pi.) ergamtoota ti       
messy, be v. 	 huuraha roofta; hoxxaha xoofta      
metal n. 	 sibiila i       
	       
middle n. 	 badaassaa ni; jidduu wayaa.; wadhakkaa ni      
midnight n. 	 waarii ni       
midway n. 	 waljajjii ni       
migraine v. 	 bowwafadha fatta       
mildew n. 	 damansa i       
militia n. 	 xoorsaraawwitii ni (Amh.)       
	       
milk n. 	 anaani, (colostrum) silla, conee, areerra i; (fresh) n.   mii ni     
milk v. 	 (camel) sharama mta; (illegally)   luuga luudda; cona, conta;     
	       
elma	elmita        
milk, v. 	 (completely milk a cow) cirissa sita       
milking n. 	 eleemaa ni; waaree ni      
milkpot n. 	 buree ni; (Gabbra) gira i, golondii ni; gorfa i;    
	       
gorjoo	ni;   madaala i; (wooden) soroora i     
millipede n. 	 miilkuma i; hanqareessa i      
mine (pron.) 	 kiyaa tiyya; kiyyuma, tiyyuma       
minute n. 	 daqiqaa ni (Amh.)       
mirage n. 	 sankulee ni; siribii ni; qayanqayoo ni     
miscarry v. 	 salleessa sita       
miserable, be v. 	 golgolaha loofta       
misfortune n. 	 dabuu ni       
miss v. 	 daga dadda       
missing, be v. 	 seela'a loofta       
mist n. 	 hurii ni; qayoo ni; qayoota      
mistake n. 	 baasa i; yakka ni ; n. dokonkora i;     
	       
make v. 	 wallaala lta; dokonkora rta;      
	       
mistreat v. 	 daga dadda       
	       
mistreating n. 	 rakuu ni       
	       
mistress n. 	 jaalto ni;garayu ni      
	       
misunderstand v. 	 wal bada badda; wal miliqa lixxa; wal mura rta     
	       
mix (and eat) v. 	 kuruma mta       
	       
	       
	       
	       
	       
	       
	       
M 	       
	       
	       
	       
M 	       
	       
	       
	       
mix (together) v. 	 walti naqa naxxa; bulbula lta; dorqa qita;     
	       
kokorsa	sita; maka matta       
mixture n. 	 makaa ni       
moan v. 	 gadooda dda; waadha waatta      
mock v. 	 arabsa sita; goyeessa sita; qalada ladda (Amh.); qoosa qooca    
mocking n. 	 qaldii ni       
moist (adj.) 	 jiida jiitu, jiido        
moisture n. 	 dabana i       
molar n. 	 haoo ni; aoo ni      
moment n. 	 hojjaa ni       
Monday n. 	 Senyo (Amh.)        
money n. 	 beesee ni (Swa.)       
mongoose n. 	 curree ni; moree ni; hammaa ni     
monkey (vervet) n. 	 qamalee ni       
monster n. 	 bulguu ni       
month n. 	 ji'a ji'i       
mood n. 	 miira i       
	       
moon n. 	 ji'a; ji'i; (new)   baatii ni; (full) goobana ti;     
more than (adv.) 	 afaan        
	       
morning n. 	 dirama i, (early morning, before dawn) baraaqa i; ganama      
mortar n. 	 moyee ni       
mosque n. 	 mesgida; masajida (Arab.)        
mosquito n. 	 binii ni       
moss n. 	 areedda i       
moth n. 	 billaachaa ni       
	       
mother n. 	 haadha ti; haa haatii; (voc.) haatoo ni; aayyoo ni    
motive n.	 marroo ni       
	       
motorcar n. 	 makinaa; konkolaata; gaarii; motokaa ni (Eng.)       
mottled n. 	 warareeba i       
mould n. 	 damansa i       
mouldy, become v. 	 damansaha soffta       
mound (termite) n. 	 kooba di; kobbee ni; kubii ni     
mount v. 	 yaaba bda; kora rta      
mountain n. 	gaara i       
mouse bird n. 	 waraabata i       
mouse n. 	 barroo ni; (gray) illaada i; hanatuta; sulli'oo ni; halakhee ni;    
	       
(young) dhakii	ni        
moustache n. 	 hafaroo ni       
mouth n. 	 afaan        
	       
move v. 	 reeqisa qifta; choco'a cota; ( move with difficulty) jaatanaha noofta     
move (household) v. 	 madaba bda       
move (steadily) v. 	 munyuuqa yuuxxa       
move away v. 	 godaana nta       
move slowly v. 	 siriiqa riixxa; sirnya nyita      
	       
	       
	       
	       
	       
move together v. 	 shona nta; sona nta      
	       
movement n. 	 akhuu ni; siqansa i      
	       
moving n. 	 godaana ti; madaba i (Amh.)      
	       
moving together n. shanaca	i (also, being together)        
	       
much (adv.) 	 guddoo; haguu ni; hedduu; hidduu; qacaa ni      
	       
mucous n. 	 furroo ni; (dried)   xanxammaa ni     
	       
mud n. 	 cancana i; dhoobboo ni; dhoqee ni; dhooba i; suphee ni   
	       
muddy n. 	 borxoxxee ni       
	       
mule n. 	 gangee ni; gangeellee ni      
	       
mumble v. 	 bopphisa phifta; cabaqa baxxa      
	       
mumps n. 	 qandadaa ni       
	       
murmur v. 	 gunguma mta; hasaasa hasaafta; shawisa wifta     
	       
muscles n. 	 sarbaa ni       
	       
mushroom n. 	 abbaa marqoo ni       
	       
must v. 	 male; malte        
	       
mutter v. 	 bopphisa phifta; gunguma mta      
	       
muzzle (of a gun) n. 	 afumosii ni (Amh.) i      
	       
muzzle n. 	 funaani        
	       
my (pron.) 	 kiyya, tiyya; kiyyuma, tiyyuma        
	       
myrrh n. 	 (tree) qumbii ni       
	       
myself (pron.) 	 ufi        
	       
mystery n. 	 bonbontii ni; mistirii (Eng.)       
	       
shawwee	ni (Amh.); badallaa ni; boqoloo ni (Amh.)      
	       
	       
	       
nag v. 	 dorsisa sifta; findhaara rta      
	       
naked, be v. 	 daara rta       
	       
name (for mother	in law) n.   kumakitili      
	       
name n. 	 maqaa ni; gurra i      
	       
namegiving n. 	 gubbisa i       
	       
nanny goat n. 	 re'eetii ni       
	       
nap v. 	 rafa rafta; hochisa chiifta; n. hocheesa i     
	       
nape n. 	 sammuu ni; qaaceera       
	       
narrow (adj.) 	 dhipha, dhipho, dhipho        
	       
narrow passage n. 	 rakkoo ni       
	       
narrow, be v. 	 xiixa'a xoofta       
	       
nation n. 	 gosa i       
	       
nauseous, be v. 	 lilikha litta       
	       
navel n. 	 handhura ti       
	       
near (prep.) 	 aana; bira; dhi'o; cina (Guji)        
	       
near, be v. 	 ruga rudda       
	       
nearby (prep.) 	 bira        
	       
nearby (place) n. 	 naaboo ni       
	       
necessary, be v. 	 fedha fetta       
	       
	       
	       
	       
	       
	       
	       
M 	       
	       
	       
	       
N 	       
	       
	       
	       
necessity n. 	 dhiphuu ni       
	       
neck n. 	 lubbuu ni; lukuma ti; lummee ni; morma i    
	       
necklace n. 	 hayaama i; lootii ni      
	       
need v. 	 fedha fetta; barbaada baadda; n.   dhiphuu ni;    
	       
(feel a strong need) araada	dda; n. araadda i       
needle n. 	 binkii ni; marfe (Amh.); limee ni      
neglect v. 	 tassa tacha       
neigh v. 	 fookisa kifta; imimisa sita      
neighbor n. 	 ollaa ni       
nerve n. 	 morgaha i; ribuu ni      
nest n. 	 mana i       
nevertheless (adv.) 	 ammoo        
new (adj.) 	 haraa; n. (something)   bamboo ni      
newborn n. 	 caraqa i; caraqqoo ni      
news n. 	 da'imtuu ni; oddu; (vague) n.   lasiitii ni     
next (adv.) 	 gadhufu        
next day n. 	 boriyyaa ni       
next to (prep.) 	 dhaatu; dhawwatu        
	       
nibble v. 	 alalacha chita; dheeda dheedda; durduura rta; funaana nta    
nice 	 (adj.) bareeda; dansaa; kilimphee        
nice (person or thing) n. 	 dabboo ni; faaya i      
	       
night 	 n. (early) halkani; (late) halkan guddoo; bultii ni; gunna i; waarii ni     
nightjar n. 	 raphachoo ni       
nighttime n. 	 bultii ni       
nimble (adj.) sabla, sablo, sablo 	       
nine n. 	 sagali        
ninety n. 	 sagaltama i       
	       
ninth n. 	 sagaleessoo ni; salaani; saleesso; sagaleessoo       
nipple n. 	 mucha i       
no! 	 hiyyoo!        
	       
noise n. 	 billa i (Amh.); dibbeesa i; dibbiisaa ni     
noise, make v. 	 caara rta; n. caara i; ; waca wacca     
nonetheless 	 malee        
nook n. 	 suuqa i       
noon n. 	 guyyaa guddaa        
north n. 	 ola olitti       
nose n. 	 funaani        
	       
nosebleed v. 	 funuuna nta; n. funuuna i      
nostril n. 	 qaa'a funaani        
not as good. ..better than 	 manna.. .wayya        
notify v. 	 jedha jetta       
nourish v. 	 soora rta       
nourishment n. 	 soora ti       
now (adv.) 	 amma        
	       
	       
	       
	       
	       
N 	       
	       
	       
	       
numb, be v. 	 hadooda doodda; somb a bita      
	       
number n. 	 haga i       
	       
numerous, be v. 	 gobba bita       
	       
nurse n. 	 hakimii ni       
	       
nut (for a bolt) n. 	 bilooni (Amh.); dado        
	       
nutrition n. 	 meela i       
	       
nutritional n	 finna; meela; koshee ni (Gab.)       
	       
nylon n. 	 lailoonii ni       
	       
	       
	       
oath n.	 kakuu  ni       
	       
obey v. 	 caqasa qafta; saalfadha fatta; sarma mita     
	       
obligation n. 	 baa ni; ba'oo ni; baachaa ni; kakuu  ni    
	       
obliterated, be v. 	 raawadha watta       
	       
obscurity n. 	 dukkana ti; bonbontii ni      
	       
observe v. 	 jiba jibda; doofadha fatta      
	       
obstacle n. 	 galloo ni ; gufuu ni; gugufaa ni     
	       
obstinacy n. 	 siriima i; morka i; morkachaa ni     
	       
obstinate, be v. 	 morka kita       
	       
obstruct v. 	 duucha cita       
	       
occasion n.	 fullaa ni; gaafa       
	       
ocean 	 n. abaayaa ni; baarii ni      
	       
offend v. 	 tuqa tuxxa; yakka kita      
	       
offended, be v. 	 xeera'a   roofta       
	       
offense n. 	 arabba i; eebee ni; baasa i; cubbuu ni; xeeraa ni   
	       
office n. 	 biiroo ni, beroo ni (Fr.)      
	       
offspring n. 	 ilmee ni; daaraa ni; eegee ni; maatii ni; maayamaatii ni   
	       
ogre n. 	 goorjama i; olokhinna i; bulguu ni     
	       
oil n. 	 dhadhaa ni; qibaaati ni (Amh.); motor oil   zeit (Amh.)     
	       
okay (adj. + adv.) 	 dansaa; ee'ee; (adj.)   wayya       
	       
old (adj.) 	 dullacha, dullatti, dullacha; moofa, mooftu, moofoo;        
	       
(people) rapha; raqa	i        
old and dry v. 	 buquqa xxa; buquqaha qoofta; n. burquqaa ni     
old woman (women) n. 	 beera ti       
old, be v. 	 goblola lta;   hoorofaha foofta; subuqa buxxa    
old, become v. 	 hacimpheera rta; rereepha phta      
old, worn out v. 	 subuqa buxxa       
older sibling (brother) n. 	 aaddaa        
olive (tree) n. 	 ejersa i       
omen n.	 dhangaa ni       
omit v. 	 lakkisa kifta       
on (prep.) 	 gubbaa; irra        
on high (prep.) 	 gubbaa        
on top of (prep.) 	 gubbaa        
	       
	       
	       
	       
	       
N 	       
	       
	       
	       
O 	       
	       
	       
	       
once (adv. + conj.) 	 takkee ni; tokko; takka       
one n. + adj. 	 tokko; takka; one only tokkumaa;        
	       
takkumaa; tokkocha	i; gumaa ni       
one person (one body) n. 	 mutaraa ni       
one time n. 	 takkee ni       
only 	 callaa; kopha; tuu; qofa (Gab.)        
ooze v. 	 madda maddita       
open space n. 	 batala ti       
open v. 	 bana, banta; fura furta; qoobsa sita ;      
	       
saaqa	saaxxa; diiga diidda       
opening n. 	 afaan; qaa'a i; urachaa ni; urata i     
openly (adv.) 	 diideese        
opinion n. 	 asaaba i (Amh.), herrega, mala       
opportunity n. 	 boddaa ni; findhaara i      
oppose v. 	 dida didda; morma mita      
	       
oppress v. 	 ijeessa ijeefta; mitissa sifta; raka ratta; reeba bda; riiqa riixxa   
oppression n. 	 mitoo ni       
or (conj.) 	 yokaani        
or? 	 mo?        
orange n. 	 birtee        
orator n. 	 falqa i       
order n. 	 erga (Amh. ajaja ajajja)       
organize v. 	 taaba taabda; tolcha chita      
orifice n. 	 qaa'a i       
	       
origin n. 	 balchaa; xintii ni (Amh.); hunda i; idda i     
oriole n. 	 hawantee ni; awantee ni      
ornament (head ) n. 	 kalacha i       
oryx n. 	 saalaa ni       
osteomyelitis n. 	 uludii ni       
ostrich (chick) n. 	 randhuu ni; ruboo ni; guchi ni     
other(s) n. 	dhibii ni; jarra i; biyya yiti     
otherwise (adv. + adj.) 	 silaa; yokaani        
ought to v. 	 himmalle        
ought v. 	 male; malte        
out (prep.) 	 keessaa        
out of sorts v. 	 bukana'a noofta       
outbid v. 	 caradha ratta       
outcome n. 	 faidaa ni (Swa.)       
outer part n. 	 ala i       
outmaneuver v. fuluusa	sita        
outside n. 	 ala i; diida       
outsider n. 	 orma i       
outsmart v. 	 fuluusa sita       
outstretched (adj.) 	 dalla        
	       
	       
	       
	       
	       
	       
	       
	       
	       
o 	       
	       
	       
	       
oval n. 	 korboo ni       
	       
over (adv.) 	 ola olitti       
	       
overcome v. 	 dabsadha satta       
	       
overeat v. 	 qallulama mta       
	       
overhang n. 	 raraatoo ni; raraha i      
	       
oversee v. 	 eega eedda; qorqora rta      
	       
overstate v. 	gumbisa fta       
	       
overtake v. 	 dura mura rta; firisa rifta      
	       
overturn v. 	 cunqursa sita; garagala; galabatama mta (Amh.)      
	       
overweight n. 	 botora i       
	       
overwhelm v. 	 mitissa sifta       
	       
owl n. 	 urunguu ni       
	       
ox n. 	 qubla i; mirgoo ni; sangaa ni     
	       
oxen n. 	 hancaffa i; (old)  karaaba  di;     
	       
(pair) 	 ximmaadii ni (Amh.); xindii ni (Amh.)      
	       
	       
	       
pack animal n. 	 faa'ilee ni       
	       
pack camel n. 	 ooroo ni; rochoo ni      
	       
packet n. 	 baakoo ni       
	       
paddock n. 	 gola ti       
	       
pail n. 	 baldii ni (Amh.)       
	       
pain (stomach) v. 	 qaqata'a toofta; dhukkuba i; gurgurtuu ni     
	       
pain v. (chronic) hooraha	roofta; feel v.   mamarqama mta      
	       
pain, have v. 	 abaha aboofta; elaha loofta; (constant)   uma'a moofta;    
	       
n. eloo	ni        
paint n. 	 bifa; rangii ni (Swa.);   qalaamii ni (Amh.); v.   bifa bifta; diba bda  
pair n. 	 lakuu ni       
pale (adj.) 	 adii        
	       
paleness n. 	 addeenna i, aagii qalani       
palm n. 	 ganaa ni       
	       
palpitate v. 	 dhudhukadha katta; n. dhudhukachaa ni      
palpitations n. 	 xiraa ni       
	       
pancake n. 	 chappaattii ni (Swa.); budeena i (Amh.); injeera      
panic v. 	 gugadha gatta ; n. gugachaa ni      
pannier n. 	 sabbaqee ni       
pant v. 	 dhaana nta; hara harta; harganna nta     
pants n. 	 bololee ni (Amh.); boggee ni; hidhaa      
papaya n. 	 phaapa'ii ni (Eng.)       
paper n. 	 karatasii ni (Swa.); waraqata i (Amh.)      
parable n. 	 mamaassa i       
parallel, make v. 	 obra obrita       
paralysis n. 	 naafachaa ni       
paralyzed (person) n. 	 naafa i       
	       
	       
	       
	       
	       
P 	       
	       
	       
	       
paralyzed, be v. 	 naafadha fatta       
pardon v. 	 araraama mta; dhiisa dhiifta      
part n. 	 gamma i; gar; goomolee ni; moggaa ni     
partner n. 	 garayyuu ni; fira; tolaa       
	       
pass v. 	 darba bita; (by) v.   dabra barta     
	       
pass n. 	 rakkoo ni       
	       
pass over v. 	 taakka kita       
	       
pass through v. 	 huluuqqa luuxxa; shila'a laata (Amh.)      
	       
pass under v. 	 huluuqqa luuxxa       
	       
passage n. 	 rakkoo ni; fuloo ni      
	       
passion n. 	 maleela i; mirqaana i; onnee ni     
	       
passport n. 	 mashenyaa ni (Amh.); waraqata karaan deemani (Bor.)       
	       
past (adv.) 	 duri        
	       
past time n. 	 dhengadda i; gaafa       
	       
past year n. 	 barana        
	       
pasta 	 n. paastaa ni (Ital.)       
	       
pasture n. 	 marra i; v.   maarsa sita     
	       
pasturing of sheep and goats n. 	 arjaala i       
	       
patch (of grass) n. 	 leensaa ni       
	       
patch v. 	 erba erbita; (cloth) n.   erbaa ni; haafa i    
	       
patches n. 	 qarichoo ni       
	       
patching n. 	 maxansaa ni       
	       
paternity n. 	 abbooma i       
	       
path n. 	 kara  ni       
	       
patience n. 	 obsa i; obsaa ni      
	       
patient, be v. 	 obsa obsita       
	       
patiently (adv.) 	 suuta; laanuma        
	       
paunch n. 	 borcii ni; borcooca i   person/animal with a paunch.     
	       
paunch, have v. 	 borca'a coofta       
	       
pauper n. 	 hiyyeessa i; hiyyeettii ni; qollee ni     
	       
pause n. 	 forfachaa ni; forfataa ni      
	       
paw n. 	 kotee ni; tantoomoo ni; tantoomuu ni     
	       
pay attention v. 	 caqasa qafta; dhageefadha fatta; caqasaa fta; eegadha gatta    
	       
peace n. 	 nagaa nageeni; nagaya       
	       
peaceful, be v. 	 dambooba bda       
	       
peak n. 	 flixee ni       
	       
peasant n. 	 gabbaree ni (Amh.)       
	       
pebbles n. 	 cirracha i       
	       
pedal n. 	 faanoo ni       
	       
peddler n. 	 nagaadee ni       
	       
peel v. 	 qunchiisa chiifta       
	       
peeled, be v. 	 luqaha qaata; quncaha caata      
	       
peg n. 	 fannoo ni       
	       
pellets n. 	 cirracha i; tussii ni      
	       
	       
	       
	       
	       
P 	       
	       
	       
	       
pen n. 	 qalaamuu ni (Swa.); biirii ni (Amh.)      
	       
penetrate v. 	 lixa lixxa; seena nta      
	       
penis n. 	 (adults) cidaani; bixii ni; shundooni; nafa saalaa;       
	       
qorichoo	ni; (small boy) dhungitii ni; quxuu ni; geebaa ni     
penis (of camel) n. 	 megenna i       
	       
people n. 	 biyya yiti; biyyee; jarra i; nama i; warra i; warreena i; benna i  
pepper (red chili) n. 	 barbaree ni; bisarii (Swa.); qaaraa ni (Amh.)      
perfectly (adv.) 	 qixxee        
perforate v. 	 ura  urta       
perfume n. 	 (for the hair )qayya mataa; quromfidii ni; (Amh.);       
	       
shitoo	ni; marashii ni       
perfume v. 	 qayyadha yatta; n. qayya i      
perfumed, be v. 	 urga'a goofta       
perhaps (adv.) 	 malaafi; malaafu; yokaani; gaafiini        
period n. 	 bara i; jabanna i ; (Amh.) gizee ni     
perish v. 	 hobaha baata       
permission n. 	 feqaada i (Amh.); eeyama i      
permission, have v. 	 balala lta       
persecute v. 	 makharsa sita       
persecution n. 	 dhiba; rakkoo; nartii ni (Amh.)       
perseverance n. 	 didhaa ni       
person n. 	 nama i       
perspire v. 	 damfa fita       
	       
persuade v. 	 beesisa sifta; gunadha natta; hababbala lta     
pester v. 	 gorteefadha fatta; nyagisa gifta      
pestle n. 	 urgumeessa i       
petal n. 	 gurra i       
	       
petition n. kadhaa Dubraa; sagadaa	ni        
phone call n. 	 silkii ni (Amh.); simuu (Swa.)       
photograph n. 	 footoo ni (Ital.); misilii ni (Amh.)      
pick at v. 	 funaana nta       
pick open v. 	 qirqita qitta; filadha latta      
pick out v. 	 foo'a ta       
	       
pickaxe n. 	 sururuu ni; doomaa ni (Amh.)      
picture n. 	 footoo ni (Ital.); misilii ni (Amh.)      
piebald (two	colored) v.   shooma mta      
piece n. 	 (small) huuba i; bu'a; qoraachii ni (Amh.); cinna I;     
pieces, be in v. 	 bututa tutta; n. cinnoo ni; gumaa ni; bututa i    
pierce v. 	 borossa sita; dira dirta; qilxipha xiphta; ura urta; waraana nta   
pig n. 	 boyyee ni; (bush pig) boyyee ni      
pigeon n. 	 saphaliisa i       
pile n. 	 tuulaa ni       
pile together v. 	 oobla blita       
pile up v. 	 tuula lta       
	       
	       
	       
	       
	       
P 	       
	       
	       
	       
piles (enlarged blood vessels) n. 	 qormaddee ni       
	       
pill n. 	 kiniina i (Ital.)       
	       
pillage v. 	 saama mta       
	       
pirnple n. 	 finiisa i       
	       
pin n. 	 binkii ni       
	       
pincers n. 	 qadhabaa ni       
	       
pinch v. 	 qimmiita miitta       
	       
pipe n. 	 gaayyaa ni       
	       
pistol n. 	 bastoolaa ni (Ital.); sheguti (Amh.)       
	       
pit n. 	 boola iti       
	       
pith n. 	 dhu'a ti       
	       
pity n. 	 naasuu ni; v.   naasisa sifta; v.  kililla ta   
	       
place n. 	 fullaa ni; v.   ka'a  keeta     
	       
placenta n. 	 akkaa  ni; dilluu ni; ; (retained) dheekamtuu ni     
	       
plain (barren) n. 	 qolqola i; batala ti      
	       
plain n. 	 batala ti; diida, ataa ni      
	       
plain, be v. 	 busha'a shoofta       
	       
plainly (adv.) 	 diideese        
	       
plait v. cibra	rita; n. cibra i       
	       
plaits n. 	 taabboo ni       
	       
plan v. 	 maladha lattta; mariadha riatta; yaada yaadda     
	       
plane v. 	 kolkola lta; saaka saatta      
	       
planet n. 	 urjii ni       
	       
plaster v. 	 diba dibda; laqalaqa laxxa (Amh.)      
	       
plastic (things) n. 	 lailoonii ni; lastigii ni      
	       
plastic bag n. 	 kartasii ni       
	       
plate n. 	 baqulii ni (Swa.); sahanii ni (Swa.)      
	       
plateau n. 	 dirre ni       
	       
play v. 	 cuqqisa qifta; taphada taphatta      
	       
playful, be v. 	 buraaqa raaxxa; sambaaba bda      
	       
plead for help v. 	 dhibaafhadha fatta; hababbala lta; sobadha batta;     
	       
waakha	waatta        
pleasant, be v. 	 miyawa yoofta; adj. kilimphee       
plentiful, be v. 	 bokora rta; guddo; hedduu       
plenty n. 	 birrii ni; coonii ni      
plenty (adj.) 	 xuxxuphe        
pleuropneumonia n. 	 sombeessaa ni       
pliers n. 	 qadhabaa ni       
plod v. 	 sirriqa riixxa; sirnya nyita      
plodding n. 	 sirnyaa ni       
plot v. 	 maladha latta       
plover n. 	 wiixuu ni       
plow handle n. 	 irfli ni (Amh.)       
plow n. 	 marashaa ni (Amh.)       
	       
	       
	       
	       
	       
P 	       
	       
	       
	       
plow oxen n. 	 qotiyoo ni       
	       
plow v. 	 qota tta; shalashala lta (Amh.);      
	       
plowing n. 	 qotii ni; qotiisa i      
	       
pluck v. 	 dhibissa bifta       
	       
plug v. 	 cufa cufta; cuqqaala lta; qadaada dda;   suxa suxxa; duucha chita  
	       
plum n. 	 mululacha i       
	       
plunder v. 	 sakaba bda       
	       
plunge v. 	 lixa lixxa       
	       
pocket n. 	 kiisii ni (Amh.)       
	       
pocketknife n. 	 seentii ni       
	       
pods (of acacia) n. 	 urbuu ni       
	       
point (of knife) n. 	 abrii ni       
	       
point n. 	 (high place) dirra i;       
	       
point to v. 	 akeeka akeetta       
	       
pointed (something) n. 	 luffee ni       
	       
pointed, be v. 	 ulufa'a foofta       
	       
poison n. 	 suunkii ni       
	       
poisonous n. 	 boraara i (refers to a specific plant).       
	       
pole n. 	 dongoraa ni (for the walls of a house); moloogaa ni (Amh.)      
	       
police n. 	 polisii ni; foolissii ni      
	       
polish v. 	 riga ridda       
	       
polishing n. 	 rigansa i       
	       
politician n. 	 bolitikaa ni (Ita.)       
	       
politics n. 	 bolitikaa ni (Ital.); si'aasaa ni      
	       
pond n. 	 harroo ni; harra ti      
	       
ponder v. 	 dhindisa sita; qulquula lta; yaada dda; kumuda dda    
	       
ponderous person or animal n. 	 tomborra i       
	       
pool n. 	 garba i; dambalaa ni (not permanent); malalbaa ni; naqata i;    
	       
qachaachaa	ni        
poor 	 (adj.) qullaa        
poor, be v. 	 hiyyooma mta; hiyyoomadha matta;      
	       
(person) hiieessa	i, hiyyeettii ni       
pop out v. 	 qulqulba bta       
Pope n. 	 phaphaasa i (Ital.)       
porcupine n. 	 dhaddee ni       
pore n. 	 lima i       
	       
porridge n. 	 buluqa i; uujii ni; faafaa ni     
porter n. 	 kulii ni; baatuu ni      
